Item #,Title,Image URL,Description,Characters,Character-centric,Type,Tags,Price ($),Series,Number of Items,Discount,Collaboration
449377,Pompompurin x Sonix Phone Stand,https://www.sanrio.com/cdn/shop/files/imgi_11_Pompompurin_PhoneStand_Front_WEB_800x.jpg?v=1754951392,"Add a dash of charm to your space with Pompompurin, the Golden Retriever with a heart of gold and a love for all things cozy. This delightful phone stand combines adorable design with practical function, making it the perfect accessory for stylish multitaskers. This convenient Sonix x Sanrio character phone stand adjusts to fit your phone and is perfect for video conferencing and watching videos.",Pompompurin,Pompompurin,Accessory,"accessory, phone stand, smartphone, acrylic, yellow",19.99,None,Single,0,Sonix
305758,Pompompurin Plush Pal Pencil Case (Side Pose),https://www.sanrio.com/cdn/shop/files/zz-2506305707_PN_--1_800x.jpg?v=1749175447,Take your favorite Sanrio character with you wherever you go in this adorable plush pencil case! Its soft and nifty design is irresistibly cute and perfect for keeping gadgets or makeup organized on the move.,Pompompurin,Pompompurin,Stationery,"stationery, pencil case, embroidered, black",24,None,Single,0,None
838659,Pompompurin Baby Bundle Bag Charm (Baby Series),https://www.sanrio.com/cdn/shop/files/original_3_f75dd317-c67f-47c7-b416-4e35a4b7061a_800x.jpg?v=1749665872,"Oh, baby! Rep your favorite Sanrio characters as baby versions of themselves—swaddled bundles of joy! These soft bag charms feature a mini swaddled version of your favorite Sanrio Character with the cutest expressive eyes! With a coordinating carabiner, it's easy to attach more charms or remove them whenever you choose.",Pompompurin,Pompompurin,Accessory,"accessory, charm, bag charm, embroidered, yellow",28,Baby,Single,0,None
840459,Pompompurin Onesie Bag Charm (Baby Series),https://www.sanrio.com/cdn/shop/files/original_3_7ae40a6e-6064-4925-a17d-67a07b63c96e_800x.jpg?v=1749664486,"Oh, baby! Rep your favorite Sanrio characters as baby versions of themselves, dressed in the cutest matching onesies! These soft bag charms feature a mini version of a onesie with a matching plush baby face of your favorite Sanrio Character. With a coordinating carabiner, it's easy to attach more charms or remove them whenever you choose",Pompompurin,Pompompurin,Accessory,"accessory, charm, bag charm, onesie bag charm, embroidered, yellow, orange",28,Baby,Single,0,None
293831,Pompompurin Plush ID Badge Holder & Reel,https://www.sanrio.com/cdn/shop/files/zz-2506293644_PN_--1_800x.jpg?v=1749175002,"A stuffed animal pouch that's great to have with you anytime, anywhere! A cute face shape that can also be enjoyed as a bag charm★ Comes with a stretchy cord reel, making it easy to pass through ticket gates♪",Pompompurin,Pompompurin,Accessory,"accessory, badge holder, reel, cotton, pvc, steel, polyester, yellow",22,None,Single,0,None
498335,Pompompurin & Chococat Chamomile 3D Wooden Flower Puzzle Kit, https://www.sanrio.com/cdn/shop/files/1_9eedf1ce-1aad-4ea8-8dfa-ee96605ce89b_800x.jpg?v=1756855212,"Unleash your creativity with the Pompompurin & Chococat Chamomile 3D Wooden Puzzle Kit. This delightful kit lets you build a charming chamomile flower featuring the iconic Sanrio characters, offering a fun and satisfying challenge for ages 8 and up.",Pompompurin,Pompompurin,Toys&Games,"toys, chamomile, 3d, wooden flower puzzle kit",14.99,None,Single,0,None
468525,Pompompurin Everyday Chopsticks (Natural Wood),https://www.sanrio.com/cdn/shop/files/zz-2501468461_PN_--1_800x.jpg?v=1737158942,"Dine alongside your beloved Sanrio character! These chopsticks feature a natural wood detail and are ideal for a fun lunch at school, work, or during weekend picnics!","Pompompurin, Chococat",Pompompurin,Home Goods,"home goods, chopsticks, natural wood, yellow, brown",14,None,Multiple,0,None
862185,Pompompurin Bean Doll Plush (Something Blue Series),https://www.sanrio.com/cdn/shop/files/862185-Zoom.1_800x.jpg?v=1751391968,"Adorned with frilly lace and bows, a collection with something blue, just for you! Enjoy your Sanrio faves in large plush, bean dolls —posed with a heart in hand, while the matching mascot clips are a sure way to make your bag or keys just as swell as a bluebell!",Pompompurin,Pompompurin,Plush,"plush, bean doll plush, bean stuffing, embroidered, blue, yellow",29,Something Blue,Single,0,None
862410,Pompompurin Plush Mascot Clip (Something Blue Series),https://www.sanrio.com/cdn/shop/files/862410-Zoom.2_800x.jpg?v=1751399941,"Adorned with frilly lace and bows, a collection with something blue, just for you! Enjoy your Sanrio faves in large plush, bean dolls —posed with a heart in hand, while the matching mascot clips are a sure way to make your bag or keys just as swell as a bluebell!",Pompompurin,Pompompurin,Accessory,"accessory, clip, plush clip, embroidered, yellow, blue",24,Something Blue,Single,0,None
300586,"Pompompurin 8"" Plush (Friendship Time Series)",https://www.sanrio.com/cdn/shop/files/4550624300582-2_800x.jpg?v=1749246623,"Delight in this adorable friendship series featuring Pompompurin and Muffin! The cute little Muffin snuggled with Pompompurin is too precious to resist. Enjoy a fun array of bags, accessories, and even plush, showcasing a fabulous and fun display of cuteness!",Pompompurin,Pompompurin,Plush,"plush, 8'' plush, besties, muffin, embroidered, yellow",44,Friendship Time,Single,0,None
300641,Pompompurin Mini Phone Crossbody Bag (Friendship Time Series),https://www.sanrio.com/cdn/shop/files/zz-2504300641_PN_--1_800x.jpg?v=1744217538,"Delight in this adorable friendship series featuring Pompompurin and Muffin! The cute little Muffin snuggled up on Pompompurin’s back is simply too precious to resist. With its stuffed animal-like appearance, you won't be able to resist showcasing it, even when you're not using it as a nifty smartphone carrier!",Pompompurin,Pompompurin,Bags,"bag, mini phone crossbody bag, smartphone, embroidered, poly, pu, besties, muffin, yellow, white",32,Friendship Time,Single,0,None
613096,Pompompurin Smartphone Ring Grip (Friendship Time Series),https://www.sanrio.com/cdn/shop/files/original_3_6b1f0b88-e2a0-42e5-befe-03ae62d67116_800x.jpg?v=1750802872,"Delight in this adorable friendship series featuring Pompompurin and Muffin! The cute little Muffin snuggled with Pompompurin is too precious to resist. Enjoy a fun array of bags, accessories, and even plush, showcasing a fabulous and fun display of cuteness!",Pompompurin,Pompompurin,Accessory,"accessory, smartphone grip, plush smartphone grip, plush, poly, resin, smartphone, yellow",26,Friendship Time,Single,0,None
613029,Pompompurin 2-Piece Pouch Set (Friendship Time Series),https://www.sanrio.com/cdn/shop/files/4550624613026-1_800x.jpg?v=1749248800,"Delight in this adorable friendship series featuring Pompompurin and Muffin! The cute little Muffin snuggled with Pompompurin is too precious to resist. Enjoy a fun array of bags, accessories, and even plush, showcasing a fabulous and fun display of cuteness!",Pompompurin,Pompompurin,Bags,"bag, pouch, zipper pouch, set, muffin, besties, cotton, polyester, steel, yellow, orange",24,Friendship Time,Single,0,None
612995,Pompompurin Mini Zipper Pouch (Friendship Time Series),https://www.sanrio.com/cdn/shop/files/4550624612999_800x.jpg?v=1749249234,"Delight in this adorable friendship series featuring Pompompurin and Muffin! The cute little Muffin snuggled with Pompompurin is too precious to resist. Enjoy a fun array of bags, accessories, and even plush, showcasing a fabulous and fun display of cuteness!",Pompompurin,Pompompurin,Bags,"bag, pouch, zipper pouch, mini pouch, mini zipper pouch, muffin, besties, cotton, poly, steel, embroidered, yellow",26.99,Friendship Time,Single,0,None
619493,Pompompurin Plush Throw Pillow (Friendship Time Series),https://www.sanrio.com/cdn/shop/files/619493-2_800x.png?v=1750803804,"Delight in this adorable friendship series featuring Pompompurin and Muffin! The cute little Muffin snuggled with Pompompurin is too precious to resist. Enjoy a fun array of bags, accessories, and even plush, showcasing a fabulous and fun display of cuteness!",Pompompurin,Pompompurin,Home Goods,"home goods, pillow, throw pillow, plush throw pillow, embroidered, muffin, besties, yellow",44,Friendship Time,Single,0,None
320251,"Pompompurin 9"" Plush (Balloon Kids Series)",https://www.sanrio.com/cdn/shop/files/zz-2503320226_PN_--1_800x.jpg?v=1749174065,"The popular 90's series Balloon Kids has now been re-released and features a nod to 90s retro parachute “swishy” fabric and bold color pops, sure to spread joy amongst our biggest fans! Collect all of your faves and enjoy a little dose of Sanrio nostalgia!",Pompompurin,Pompompurin,Plush,"plush, 9'' plush, nylon, poly, embroidered, yelow",36,Balloon Kids,Single,0,None
827631,Pompompurin 2-Way Bestie Lanyard Pouch,https://www.sanrio.com/cdn/shop/files/original_dfa24e1e-695e-46f1-84e3-4131180b72e6_800x.jpg?v=1748998816,"Take your favorite pair of Sanrio besties wherever you go! This nifty 2-way lanyard comes with a removable mini zipper pouch that keeps small items at arm’s reach, while the adjustable lanyard has more than enough room for a set of keys, or an ID badge too!",Pompompurin,Pompompurin,Accessory,"accessory, lanyard, lanyard pouch, besties, muffin, embroidered, yellow, brown",17.99,None,Single,0,None
824097,Pompompurin 2-Way Mini Crescent Bag Charm,https://www.sanrio.com/cdn/shop/files/original_1_0383e87f-2bc6-4d36-80be-0d905db13f41_800x.jpg?v=1746552915,"Just go mini! Add a little flair to your bags with this baby crescent bag that can be hung two ways - via lobster clasp or the adjustable buckle, which can stash your lip gloss, loose change, or whatever you wish!",Pompompurin,Pompompurin,Accessory,"accessory, charm, bag charm, crescent bag charm, mini crescent bag charm, poly, metal, embroidered, yellow",17.99,None,Single,0,None
822914,Pompompurin Plush Measuring Tape,https://www.sanrio.com/cdn/shop/files/original_1_983d5357-aa3c-4662-a893-0c25bcc5dcfb_800x.jpg?v=1747286669,"How do you measure cute? With your favorite Sanrio Characters, of course! Pint-sized, handy, and cute, these plush measuring tapes are great to keep in your toolbox, near your desk, and in your stationery kit.",Pompompurin,Pompompurin,Home Goods,"home goods, measuring tape, plush measuring tape, embroidered, yellow",24,None,Single,0,None
